id,bssid,ssid,signal,x,y,floor,floorChange
34,74:a0:2f:d5:51:61,KAU-INTERNET,-51,39,43,1,0
35,74:a0:2f:f0:12:61,KAU-INTERNET,-50,45,43,1,0
36,cc:d5:39:89:6f:11,KAU-INTERNET,-52,23,43,1,0
37,68:86:a7:30:c3:41,KAU-INTERNET,-52,19,43,1,0
38,cc:d5:39:89:bd:91,KAU-INTERNET,-49,15.5,43,1,0
39,74:a0:2f:fb:2f:11,KAU-INTERNET,-51,40.5,26,1,0
40,68:86:a7:1d:2b:c1,KAU-INTERNET,-50,16.5,35,1,0
41,cc:d5:39:89:c3:01,KAU-INTERNET,-42,21,35,1,0
42,68:86:a7:1c:fb:41,KAU-INTERNET,-53,24,35,1,0
43,d0:c7:89:c6:8e:51,KAU-INTERNET,-46,7,26,1,0
44,d0:c7:89:c7:93:41,KAU-INTERNET,-52,21,4.5,2,0
45,d0:c7:89:c6:93:d1,KAU-INTERNET,-50,21,8,2,0
46,d0:c7:89:c6:91:71,KAU-INTERNET,-47,19.5,10,2,0
47,d0:c7:89:c6:8c:e1,KAU-INTERNET,-48,19.5,13.5,2,0
48,74:a0:2f:fb:2b:b1,KAU-INTERNET,-70,21,18,2,0
49,0c:68:03:af:a5:61,KAU-INTERNET,-50,22.5,13.5,2,0
50,d0:c7:89:67:e1:61,KAU-INTERNET,-50,22.5,10,2,0
51,d0:c7:89:c6:77:91,KAU-INTERNET,-45,25,11,2,0
52,0c:68:03:af:af:c1,KAU-INTERNET,-56,25,13.5,2,0
53,d0:c7:89:67:ab:f1,KAU-INTERNET,-38,8,17.5,2,0
54,0c:68:03:38:65:51,KAU-INTERNET,-49,6.5,15.5,2,0
55,ec:e1:a9:6b:e5:91,KAU-INTERNET,-46,6.5,14,2,0
56,f8:4f:57:66:5c:61,KAU-INTERNET,-48,6.5,12,2,0
57,ec:e1:a9:6b:e3:31,KAU-INTERNET,-47,6,9,2,0
58,0c:68:03:af:b8:21,KAU-INTERNET,-42,10.5,9,2,0
59,d0:c7:89:c6:8f:81,KAU-INTERNET,-53,17,9,2,0
60,0c:68:03:b1:31:61,KAU-INTERNET,-53,17.5,10,2,0
61,0c:68:03:af:a3:b1,KAU-INTERNET,-53,17.5,13.5,2,0
62,ec:e1:a9:f1:64:b1,KAU-INTERNET,-45,17.5,16,2,0
63,0c:68:03:38:72:91,KAU-INTERNET,-41,29,5.5,2,0
64,74:a0:2f:c2:fe:b1,KAU-INTERNET,-52,21,24,2,0
65,0c:68:03:af:8f:91,KAU-INTERNET,-41,6.5,26,2,0
66,0c:68:03:38:6e:91,KAU-INTERNET,-44,6.5,19.5,2,0
67,d0:c7:89:67:8d:41,KAU-INTERNET,-40,12.5,26,2,0
68,cc:d5:39:89:6a:f1,KAU-INTERNET,-44,15.5,30,2,0
69,68:86:a7:57:0d:71,KAU-INTERNET,-47,15.5,33.5,2,0
70,cc:d5:39:89:6a:71,KAU-INTERNET,-48,15,35,2,0
71,68:86:a7:30:f6:41,KAU-INTERNET,-50,19.5,34.5,2,0
72,68:86:a7:56:de:a1,KAU-INTERNET,-50,15.5,36.5,2,0
73,68:86:a7:31:3f:51,KAU-INTERNET,-46,15.5,41,2,0
74,68:86:a7:31:3b:f1,KAU-INTERNET,-50,15.5,43.5,2,0
75,68:86:a7:1c:e6:b1,KAU-INTERNET,-48,25,43,2,0
76,cc:d5:39:89:6d:51,KAU-INTERNET,-48,26.5,41.5,2,0
77,68:86:a7:57:1b:a1,KAU-INTERNET,-46,26.5,35.5,2,0
78,68:86:a7:56:f5:41,KAU-INTERNET,-51,27,38.5,2,0
79,68:86:a7:56:df:51,KAU-INTERNET,-49,28,32,2,0
80,68:86:a7:57:1f:91,KAU-INTERNET,-52,32,32,2,0
81,68:86:a7:30:ab:c1,KAU-INTERNET,-50,32,28.5,2,0
82,cc:d5:39:89:6c:f1,KAU-INTERNET,-44,28,28.5,2,0
83,74:a0:2f:fb:36:e1,KAU-INTERNET,-49,25,26,2,0
84,74:a0:2f:e2:62:61,KAU-INTERNET,-56,29,26.5,2,0
85,74:a0:2f:f0:08:21,KAU-INTERNET,-53,26.5,21.5,2,0
86,74:a0:2f:fb:30:e1,KAU-INTERNET,-58,30,23,2,0
87,74:a0:2f:df:53:31,KAU-INTERNET,-46,34,21.5,2,0
88,74:a0:2f:df:5c:a1,KAU-INTERNET,-49,39.5,21.5,2,0
89,44:e4:d9:aa:10:e1,KAU-INTERNET,-43,42,13,2,0
90,74:a0:2f:c3:06:51,KAU-INTERNET,-53,44,19.5,2,0
91,74:a0:2f:c3:00:81,KAU-INTERNET,-50,44.5,23.5,2,0
92,74:a0:2f:5c:86:f1,KAU-INTERNET,-51,44.5,26,2,0
93,68:86:a7:1d:77:61,KAU-INTERNET,-52,28.5,40.5,2,0
94,cc:d5:39:89:4f:c1,KAU-INTERNET,-49,31.5,40.5,2,0
95,74:a0:2f:fb:29:31,KAU-INTERNET,-58,33.5,34.5,2,0
96,74:a0:2f:f0:19:b1,KAU-INTERNET,-52,33.5,38.5,2,0
97,74:a0:2f:fb:2b:d1,KAU-INTERNET,-56,39,34.5,2,0
98,74:a0:2f:fb:33:31,KAU-INTERNET,-47,44.5,29.5,2,0
99,74:a0:2f:f0:10:c1,KAU-INTERNET,-52,44.5,39,2,0
100,74:a0:2f:f0:0b:b1,KAU-INTERNET,-50,44.5,43,2,0
101,74:a0:2f:fb:2f:a1,KAU-INTERNET,-51,33.5,43,2,0
102,74:a0:2f:f0:07:a1,KAU-INTERNET,-52,44.5,35,2,0
103,ac:23:3f:8f:1f:04,BLE,-24,44,43,1,0
104,c3:00:00:35:25:e7,BLE,-24,40,43,1,1
105,c3:00:00:35:25:ea,BLE,-24,44,43,2,0
106,c3:00:00:35:25:e9,BLE,-24,40,43,2,1
107,c3:00:00:35:26:0b,BLE,-24,28.5,39,1,0
108,c3:00:00:35:25:eb,BLE,-24,31.5,39,1,0
